company_name,ico,segment,is_client,play_type,employee_count,current_acv_eur,potential_acv_eur,whitespace_eur,current_products,top_upsell,all_upsells,competitor_tools,nearest_renewal,days_to_renewal
LPP s.r.o.,04296044,AEC,False,greenfield,158,0,23700,23700,,,,,,
DIETZEL UNIVOLT,,unknown,False,greenfield,293,0,23440,23440,,,,,,
Röders GmbH,,unknown,False,displacement,290,0,23200,23200,,,,siemens nx; siemens plm; siemens teamcenter plm software,,
Arthur Klink GmbH,,unknown,False,greenfield,287,0,22960,22960,,,,,,
Akyapak,,unknown,False,greenfield,286,0,22880,22880,,,,,,
UKB Uwe Krumm GmbH,02285291,D&M,False,greenfield,114,0,22800,22800,,,,,,
Trigema a.s.,01948261,M&E,True,upsell,,29400,52050,22650,PDMC,Fusion Mfg Ext,Fusion Mfg Ext; Moldflow; Flex,,2026-12-30,251
Triag International AG,,unknown,True,upsell,14,29400,52050,22650,PDMC,Fusion Mfg Ext,Fusion Mfg Ext; Moldflow; Flex,,2026-12-30,251
WITTENSTEIN GmbH,,unknown,False,greenfield,280,0,22400,22400,,,,,,
LIEBISCH GmbH,,unknown,False,greenfield,280,0,22400,22400,,,,,,
Haas Fertigbau s.r.o.,62496867,AEC,False,greenfield,148,0,22200,22200,,,,,,
WTO Werkzeug-Einrichtungen GmbH,,unknown,False,greenfield,277,0,22160,22160,,,,,,
Knarr Vertriebs GmbH,,unknown,False,greenfield,271,0,21680,21680,,,,,,
TOOLS CZ,02965801,AEC,True,upsell,,9600,30800,21200,Fusion | Fusion Mfg Ext,PDMC,PDMC; Fusion Sim Ext; Fusion Manage Ext,,2026-08-31,130
TOOL-TEMP CZ s.r.o.,27807045,unknown,True,upsell,,9600,30800,21200,Fusion | Fusion Mfg Ext,PDMC,PDMC; Fusion Sim Ext; Fusion Manage Ext,,2026-08-31,130
NEU - DELTA NEU,,unknown,False,greenfield,263,0,21040,21040,,,,,,
EUROTUBI srl,,unknown,False,greenfield,263,0,21040,21040,,,,,,
F. Zimmermann GmbH,,unknown,False,greenfield,259,0,20720,20720,,,,,,
FANTECH Europe s.r.o.,22045333,D&M,True,expand+displace,,14000,34700,20700,PDMC | Vault,Fusion Mfg Ext,Fusion Mfg Ext; Moldflow; Flex,mastercam; dassault systemes; solidworks,2026-09-23,153
HEMO GmbH,,unknown,True,upsell,,15400,36000,20600,AEC Collection | AutoCAD LT | Forma | Revit LT,PDMC,PDMC; BIM Collaborate Pro; ACC Build,,2026-07-24,92
MP FILTRI,,unknown,False,greenfield,257,0,20560,20560,,,,,,
Ascendum Stavební stroje Czech s.r.o.,40762645,D&M,False,greenfield,50,0,20000,20000,,,,,,
DEVINN s.r.o.,40233138,D&M,False,displacement,67,0,20000,20000,,,,catia; dassault systemes; ptc windchill plm,,
"S-Power Energies, s.r.o.",05192242,D&M,False,greenfield,73,0,20000,20000,,,,,,
JECH CZ s.r.o.,25930818,D&M,False,displacement,76,0,20000,20000,,,,solidworks,,
EVUM Motors,23762012,D&M,False,greenfield,65,0,20000,20000,,,,,,
ELEKTRODESIGN ventilátory spol. s r.o.,24828122,D&M,False,greenfield,81,0,20000,20000,,,,,,
Asseco CEIT,29162670,D&M,False,greenfield,53,0,20000,20000,,,,,,
"VÚTS, a.s.",46709002,D&M,False,greenfield,78,0,20000,20000,,,,,,
SpanSet,60719389,D&M,False,greenfield,63,0,20000,20000,,,,,,
"PTV, spol. s r.o.",00222640,D&M,False,greenfield,61,0,20000,20000,,,,,,
"PILOUS - pásové pily, spol. s r.o.",60727551,D&M,False,greenfield,72,0,20000,20000,,,,,,
PEGAS - GONDA s.r.o.,48907341,D&M,False,greenfield,59,0,20000,20000,,,,,,
"GUMEX, spol. s r.o.",14103966,D&M,False,greenfield,71,0,20000,20000,,,,,,
"BRIKLIS, spol. s r.o.",43833497,D&M,False,greenfield,55,0,20000,20000,,,,,,
"Železárny Štěpánov, spol. s r.o.",46992651,D&M,False,greenfield,52,0,20000,20000,,,,,,
V-NASS,25366599,D&M,False,greenfield,58,0,20000,20000,,,,,,
TYLL CZ s.r.o.,24723037,D&M,False,greenfield,98,0,20000,20000,,,,,,
Preteq CNC Solutions s.r.o.,26091313,D&M,False,greenfield,50,0,20000,20000,,,,,,
Metalurgie Rumburk s.r.o.,64652955,D&M,False,greenfield,58,0,20000,20000,,,,,,
"Ernst Bröer, spol. s r.o.",49905694,D&M,False,greenfield,50,0,20000,20000,,,,,,
MISUMI Europa GmbH,,unknown,False,displacement,249,0,19920,19920,,,,catia; dassault systemes; solidworks,,
"ENPRAG, s.r.o.",62743741,D&M,True,upsell,,8400,28200,19800,AutoCAD LT | Revit,AEC Collection,AEC Collection; PDMC; AutoCAD (full),,2026-05-26,33
Taylor Hobson Ltd.,,unknown,False,displacement,247,0,19760,19760,,,,dassault systemes; solidworks,,
"Seco Industries, s.r.o.",05391423,D&M,True,upsell,723,8500,28200,19700,AutoCAD LT | Fusion | Inventor,AEC Collection,AEC Collection; PDMC; AutoCAD (full),,2027-01-15,267
SPALECK Industries,,unknown,True,upsell,339,8500,28200,19700,AutoCAD LT | Fusion | Inventor,AEC Collection,AEC Collection; PDMC; AutoCAD (full),,2027-01-15,267
TBT Tiefbohrtechnik GmbH + Co,,unknown,False,greenfield,246,0,19680,19680,,,,,,
VETTER Krantechnik GmbH,,unknown,False,greenfield,245,0,19600,19600,,,,,,
Vetter Krantechnik,,unknown,False,greenfield,245,0,19600,19600,,,,,,
AED project,00358853,unknown,True,upsell,,45300,64800,19500,AEC Collection | AutoCAD LT | Forma,PDMC,PDMC; BIM Collaborate Pro; ACC Build,,2026-08-09,108
"AED project, a.s.",61508594,AEC,True,upsell,23,45300,64800,19500,AEC Collection | AutoCAD LT | Forma,PDMC,PDMC; BIM Collaborate Pro; ACC Build,,2026-08-09,108
LISSMAC Maschinenbau GmbH,,unknown,False,greenfield,242,0,19360,19360,,,,,,
